id,reference,,output text,,"Similar meaning (0=no, 1=yes)","Well-formedness (by email standards) (0=badly-formed, 1=well-formed)","Formality (0=informal, 1=formal)"
1153,Ellen: Per our discussion. Jeff,,FYI : Ellen,,0,0,0
1159,I'm going!,,I'm going......,,1,1,0
1165,--------- Inline attachment follows ---------,,attachment.. The Inline attachment follows the one before it. The Inline attachment follows the one before it. The Inline attachment follows the one before it.... Inline attachment follows the one. The Inline attachment follows the one,,1,0,0
1171,--------- Inline attachment follows ---------,,Inline attachment,,1,0,0
1177,i will be attending,,I will be attending,,1,1,0
1183,are we going to work out with Dean tomarrow?,,we going to work well with Dean,,0,0,0
1189,"I guess someone thought of this again. I'll wait to see what Ben says. This is when I'm out of town, which is fine by me. Kay",,someone think of that again?? i'll just wait and see what Ben Shapiro says. Mark,,0,0,0
1195,Great. I'll come around in a bit and fill you in. Kay,,ll fill you in after I've gotten around to it. I'll fill you in after I've got around to it a bit. I'll fill you in after I've got around to it. I'll fill you in after I,,0,0,0
1201,Looks like the SPPs/SERCs are fine. I don't have additional comments.,,"don't have any more comments. Sorry, I don't have any more comments. Sorry, I don't have any more comments. Sorry, I don't have any more comments. Sorry, I don't have any more comments.",,1,0,0
1207,calendar,,Calender,,1,0,0
1213,Looks like the SPPs/SERCs are fine. I don't have additional comments.,,i have no other comments....,,1,1,0
1219,Mike Swerzbin says this deal is good - he's got it in his trade log as Natsource. ??? Kate Kerri Thompson@ENRON 01/10/2001 02:06 PM,,Mike Swerzbin confirms this is a good deal per his trade log.,,1,1,1
1225,the 14th is much better for me as we already have plans on the 7th,,14th is much better for me as we already have plans on the,,1,0,0
1231,Marcie Youngerman just called with a request for a sample ISDA. No CP name. Exclusions included. Today. Thanks. Sara,,"sara, call for a sample thanks",,0,1,0
1237,"Hi Dale, Just got your email re assignment out of TurboPark. Here are the draft documents being reviewed by the lender for the movement of equipment out of TurboPark. Kay",,Dale - just got your email re assignment out of TurboPark.... here are some draft documents for lender review... Thanks!!,,1,1,1
1243,i'll conference you in. we don't have a call-in number. what number should i call?,,"-in number.? We do not have a call-in number, what number should I call? We do not have a call-in number, what number should I call? We do not have a call-in number, what number should I",,1,0,0
1249,In case you have not seen..Marg.,,"case you have not noticed,",,1,1,0
1255,send it to these guysssssssssss John Berkley john.m.berkley@aexp.com David Lee david.m.lee@aexp.com Thanks ja,,to: John Berkley John.m.berkley@aexp.com David Lee David.m.lee@aexp.com David Lee to David Lee David.m.lee@aexp.com John Berkley Send,,0,0,0
1261,BEFORE I send the last piece in -- here is the whole thing -- PLEASE look at Sheet 3 -- RCR stuff -- there is nothing for EBS -- check out the other stuff too,,I send the last piece in -- here is the last piece -- please look at Sheet 3 -- RCR requirements -- there is nothing for EBR -- check out the other,,1,0,0
1267,"Grace, you should be a mid-marketer - you've got that supply and demand thing DOWN, girl! GRACE RODRIGUEZ 01/25/2001 08:17 AM",,"Grace, you don't need to be a mid-marketer. Grace, you have that supply and demand thing down. Grace, you have that supply and demand thing down. Grace, you have that supply and demand thing down. Grace, Grace, Grace,",,1,0,0
1273,tomorrow is probably better than Wednesday,,is invariably better than,,0,0,0
1279,"I have a conference call that starts around 1030 and is scheduled to go to 1230. Otherwise, no lunch plans. Kay",,"have a conference call that starts around 1030 and is scheduled to go to 1230. Otherwise, no lunch plans.",,1,1,0
1285,Sure - give me a call on Friday. Sara,,- give me a call on,,1,0,0
1291,I get possesion Sept.20,,. Sept.19 is when I get possesion..20 is when I get possesion. Sept.20 is when I get poss. Sept.21 is when I get poss. Sept..,,0,0,0
1297,Correction: This length is for Monday only. JMF,,this length is only for monday,,1,1,0
1303,"Per Rita, moved from Fri (3/23) to Mon (3/26)",,Friday to Saturday and then back to Saturday and finally back to Saturday and finally back to Saturday and finally back to Saturday. and finally back to Saturday and finally back to Saturday and finally back to Saturday and finally back to Saturday and finally back to Saturday. Friday to Saturday and then back,,0,0,0
1309,How's this?,,,,0,0,0
1315,For the next step...,,the final,,0,0,0
1321,this has been changed to firm - thanks for catching it. Kate Stephanie Piwetz 03/16/2001 07:43 AM,,has been changed to firm - thanks for catching it. Kate Stephanie Piwiak 03/16/2001 07:43,,1,1,0
1327,fine with me. mhc,,with me.,,0,0,0
1333,Thanks. I'll do an assignment letter formalizing the relationship. Michelle,,. Thank you. I will write an assignment letter.. I will write an assignment letter. I will write an assignment letter. Thank you. I will write an assignment letter. Thank you. I will write an assignment letter. Thank you. I will write an assignment letter,,0,0,0
1339,Please disregard my first note. Chris Foster will call tonight and tell you what to do with ARCO's schedule.,,please disregard my first note - choster will be calling tonight (so you can schedule ARCO).,,1,0,0
1345,"Spreadsheet has been updated and sent to Neil Bresnan, Daniel Kang, and Jubran Whalan at EES. Thanks for your help on this. Kate Mark Confer 03/05/2001 09:03 AM",,"has been updated and sent to Neil Bresnan, Daniel Kang, and Jubran Whalan at EESK Thanks for your help on this :-) * Mark Confer 03/05/2001 09:03",,1,1,0
1351,"564894 - changed to Bloomberg - but it's a buy, not a sale - is this the same deal prebon is missing? Evelyn Metoyer@ENRON 03/29/2001 02:25 PM",,"just a different deal.. This is the same deal as before, but it is a buy, not a sale... before.. a buy.... This is the same deal as before, but",,0,0,0
1357,"Ben Bedell, the lawyer for BT, has called to about the calculations I forwarded to you on Wednesday. Are we agreed? Please let me know asap. I know that the parties wanted to close today. Sara",,"I'm sorry to say that we're not closing today. I'm sorry to say that we're not closing today. I'm sorry. I know that the parties wanted to close today, but I don't know if we're agreed",,0,0,0
1363,Matt Dawson in London was inquiring about this agreement. He'll want to know when we are finished because he has a London paper trader nagging him. SS,,this agreement. about this agreement. this agreement. Matt is asking about this agreement because a London paper trader is nagging him. Matt is asking about this agreement because he has a London paper trader nagging him. Matt is asking about this,,1,0,0
1369,"Hey, they are making me crazy and I'm just reading your emails. Kay Alan Larsen@ECT 12/19/2000 10:59 AM",,. I'm just reading your emails because I'm just reading your emails because I'm making you crazy..m just reading your emails because. I'm just reading your emails because I'm making you crazy.....,,0,0,0
1375,Decline is ok. Enron Capital & Trade Resources Corp.,,"ok, that's what it is.. is ok, that's what it is. is ok. Decline is ok.. is ok...... Decline is ok.",,1,0,0
1381,"Rebecca, My mail stop is EB 3125A. I e-mailed you that info. on Oct.30 and left you a voice mail message. CD",,My next stop is EB 3125A & I e-mailed you that info back on Oct.30 & left you a voice mail message,,1,0,0
1387,Attached is the spreadsheet requested that consolidates common findings in London across commodities. Let me know if you have any questions or comments.,,is the spreadsheet requested that consolidates common findings in London across commodities. Let me know if you have any questions or,,1,1,0
1393,Please send the form consulting agreement to Randy. Thanks. MHC,,... The form consulting agreement should be sent to Randy. The form consulting agreement should be sent to Randy. The form consulting agreement should be sent to Randy. The form consulting agreement should be sent to Randy. The form. The form consulting agreement should be sent to Randy,,1,0,0
1399,User ID: enrondlr PW: bnaweb22,,User ID is enrondlr,,0,0,0
1405,Thanx Chris,,Thanks Chris,,1,1,1
1411,"no, not lately",,,,0,0,0
1417,Decline is ok. Enron Capital & Trade Resources Corp.,,is considerable. Enron Capital: Trade Resources,,0,0,0
1423,"Marie, I note this was unassigned, I guess Carol was trying to cover this. Please see if Barbara has time to handle this one since it is of high importance.",,I am wondering if Barbara has time to deal with this one since it is so important... I am wondering if Barbara has time to deal with this one since it is so important........,,1,0,0
1429,At 4.28 we need some humor!,,. We need humor at 4.28. We need humor at 4.28..,,1,0,0
1435,--------- Inline attachment follows ---------,,Inline attachment,,1,0,0
1441,"Is the October 13, rev 3 the final version? Kay Rusty Stevens 11/01/2000 12:26 PM",,has this October 13 been the final version??,,0,1,0
1447,--------- Inline attachment follows ---------,,Inline attachment,,1,0,0
1453,"In order to keep today's polling presenation brief, I am sending everyone a copy of the Executive Summary which Public Opinion Strategies is likely to spend the majority of time discussing. Call if you have questions. Thanks",,"m sending you a copy of the Executive Summary.. sending you. I'm sending you a copy of the Executive Summary. If you have any questions, please contact me. I'm sending you a copy of the Executive Summary. Hi, I",,1,0,0
1459,--------- Inline attachment follows ---------,,--------- Inline attachment follows.,,1,0,0
1465,"564894 - changed to Bloomberg - but it's a buy, not a sale - is this the same deal prebon is missing? Evelyn Metoyer@ENRON 03/29/2001 02:25 PM",,"It belongs to Bloomberg and apparently it's a buy, not a sale. is this the same exchange Gibbon is referencing? Evelyn Metoyer@ENRON 03/29/2001 02:25",,0,1,1
1471,I really like that one.,,. I like that one.. I like that one. I like that one. I like that one. I like that one. I like that one. I like that one. I like that one. I like that one. Thanks. I like that one. Thanks.,,1,0,0
1477,fyi,,", I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know.",,0,0,0
1483,Would you please handle this? Thanks. Michelle,,you please handle this? yall,,1,0,0
1489,"To:WILLIAMS, WILLIAM Email:bwillia5@enron.com - 503-464-3730 Enron Wholesale Services - Office of the Chairman",,"William, Thank you Office of the Chairman. Email:b willia5@enron.com",,0,0,0
1495,Just so you know what's going on in the IT world.....,,you are aware of what's happening in the IT world.......... So you are aware of what's happening in the IT world. you are aware of what's happening in the IT world,,1,0,0
1501,"The room is 3AC5C1, according to this email. I didn't check to see what it was before.",,i didn't check on this room - i was told it was 3AC5C1.,,0,1,1
1507,"I have a conference call that starts around 1030 and is scheduled to go to 1230. Otherwise, no lunch plans. Kay",,.... conference call is at 1030. is at 1030. conference call is at 1030. conference call is at 1030..... savesay savesay savesay savesay savesay savesay,,0,0,0
1513,Great. I'll come around in a bit and fill you in. Kay,,I'll come back in a bit and fill you,,1,1,0
1519,Contact Steve Walton =09Eric Hirst <Eric@EHirst.com> =0911/10/2000 10:03 AM =09=09=20 =09=09,,Contact Eric Hirst at Eric@EHirst.com,,0,0,0
1525,please add a box of packaged peanuts thanks,,add a box of packaged,,0,0,0
1531,"Karen, I was just thinking that maybe Wall Street Journal would be a good source of Brazilian ec. condition and sometimes they report on specific industries too. Monika",,.. I was thinking that the Wall Street Journal is a good source for Brazilian ec. condition..c. condition. Thanks for the suggestion. I was thinking that the Wall Street Journal is a good source for Brazilian ec. condition.,,1,0,0
1537,just faxed it to you...please let me know if don't receive it. lisa,,"faxed it to you,please let me know if don't receive it.",,1,1,0
1543,--------- Inline attachment follows ---------,,Inline attachment,,1,0,0
1549,done Evelyn Metoyer@ENRON 03/28/2001 12:53 PM,,Evelyn Metoyer@ENRON 03/08/2001 11:57,,0,0,0
1555,Fun That's cool. I think AEC is going to do it financially with us and take care of buying the phys in the market. Did you get 80 million? Chris,,"That's cool, I think AEC is going to do it financially with us and take care of buying the phys in the market. Did you get 80 million Trey",,1,0,0
1561,tomorrow is probably better than Wednesday,,.. Tomorrow might be better. Tomorrow might be better. Tomorrow might be better. Tomorrow might be better. Tomorrow might be better. Tomorrow might be better. Tomorrow might be better.,,0,0,0
1567,How's this?,,How is this? How is this? How is this?,,1,0,0
1573,would you please handle? Thanks. Michelle,,Would you let me please take care of this?,,0,1,1
1579,print,,Print.,,1,1,0
1585,Diane Russell Saunders (Polaroid) RFP for fuel oil and no.6 (617) 386-7301,,Russell Saunders (Polaroid) RFP for fuel oil and gasoline. Call (617),,0,0,0
1591,Thanks! Tanya Rohauer 06/29/99 09:12 AM,,,,0,0,0
1597,fyi Kay,,Kay,,0,0,0
1603,Matt Dawson in London was inquiring about this agreement. He'll want to know when we are finished because he has a London paper trader nagging him. SS,,Dawson in London was inquiring about this agreement. He'll want to know when we are finished because he has a London paper trader nagging him.,,1,1,1
1609,"Hi Bob, I believe I gave on October 24, so I'll go again around Christmas. I'm glad that you've gotten some good news, and here's hoping for a much better 2001! Kay",,that you've got some good news! Here's to a better 2001!! Thanks for the update! I'm glad that you've got some good news!!!! Thanks for the update! I hope that 2001 is better,,1,0,0
1615,Mike Swerzbin says this deal is good - he's got it in his trade log as Natsource. ??? Kate Kerri Thompson@ENRON 01/10/2001 02:06 PM,,"and has it in his trade log.... Mike Swerzbin says this is a good deal, he has it in his trade log. Mike Swerzbin says this is a good deal. Mike Swerzbin says this is",,1,0,0
1621,Thanks. I'll do an assignment letter formalizing the relationship. Michelle,,no prob - i'll write an assignment letter to formalize relationship,,1,1,0
1627,This is an issue we need to stay on top of. Felicia: could you please put= =20 some background together for everyone on the list?,,is an issue we need to stay on top of.icia: Can u just @= = = some more info for us on the,,0,0,0
1633,I really like that one.,,really like that,,1,1,0
1639,"Ben Bedell, the lawyer for BT, has called to about the calculations I forwarded to you on Wednesday. Are we agreed? Please let me know asap. I know that the parties wanted to close today. Sara",,"Bedell, the lawyer for BT, has called to about the calculations I forwarded to you on Wednesday. Are we agreed? Please let me know asap. I know that the parties wanted to close today.",,1,1,1
1645,I don't know anything about this! MC Richard B Sanders 06/08/2000 05:34 PM,,. I am not aware of anything about this.. I am not aware of anything about this. I am not aware of anything about this. I am not aware of anything about this.,,1,0,0
1651,This deal was in under the wrong broker - 505229 - it's been changed. Kerri Thompson@ENRON 01/25/2001 02:14 PM,,.. The deal has been changed because the wrong broker has been under the deal... has been changed.. has been changed... the deal has been changed. the deal has been changed. The deal has been changed,,0,0,0
1657,"Here's the CP name and contact info for the Cogentrix deal. Could you plug the stuff in (or have Alice help)? Many thanks, Kay",,"the CP name and contact info for the Cogentrix thingy Could you plug some stuff in (or have Alice help)? big thanks,",,0,0,0
1663,Decline is ok. Enron Capital & Trade Resources Corp.,,Decline is ok,,1,1,0
1669,do we need bus cards,,Do we still need bus cards?,,1,1,1
1675,I get possesion Sept.20,,I receive possesion for Sept 20.,,0,1,1
1681,REMINDER - INFO SESSION TODAY AT 11:30 AM in MT HOOD.,,THE GROUP SINGS TODAY AT 11:00 AM in THE,,0,0,0
1687,"Gene, What is the status of the ProNexxus situation? Have we received anything from them? If not, they are very shortsighted! Michelle",,"?? Have we received anything from them? Gene, what is the situation with the ProNexxus case? Have we received anything from them??, what is the situation with the ProNexxus case? Gene, what is the situation with the Pro",,1,0,0
1693,hope everyone is okay with this -- i talked to the people that were here and we all agreed.,,I talked to the couple of people that were here and we all agreed. We will discuss next week.,,1,1,1
1699,I'm talking about the member interest power in particular. We don't have to have to send them the Darst stuff today. I have another piece of paper that Dave needs to sign as well.,,talking about the member interest power in particular. We don't have to have to send them the Darst stuff today. I have another piece of paper that Dave needs to sign as,,1,1,0
1705,I'm thinking we are short lawyers. Hope that means good things for the survivors!,,thinking there are … lawyers? Hope that means good things for the,,0,0,0
1711,I'm thinking we are short lawyers. Hope that means good things for the survivors!,,.. Hope it means good things for the survivors.. Hope it means good things for the survivors... means good for survivors. means good for survivors. means good for survivors.... means good for survivors.,,0,0,0
1717,"Hello, I can't imagine how dark you guys are. Hope you are soaking up your last couple of days. Have a cubra libra for me! Love Chris",,re feeling. I hope you're feeling better now.. I hope you're getting some rest. I hope you're feeling better now... I hope you're feeling better now.. I hope you are.. I hope you are.,,0,0,0
1723,"We will need to update this ISDA on our new, revised, fantastic format!!! I'll have to find out who to send it to. SS",,I'll have to figure out who to send it to. Thanks. Thanks. Thanks. Thanks for the update. I will have to update this ISDA on our new format. I'll have to figure out who....,,0,0,0
1729,I think it would be best to get those terms in this agreement.,,i think it would be good if get those terms in this.,,1,1,0
1735,713-646-2391,,646-2491,,0,0,0
1741,lists@nbr.org on 03/21/2001 04:02:46 PM,,", lists@nbr.org was removed.. The list of authors is now closed.. On March 21st 2001 at 04:02: PM, lists@nbr.org was removed.. was added to the list..",,0,0,0
1747,done Evelyn Metoyer@ENRON 03/28/2001 12:53 PM,,".. to Enron. to Enron. Metoyer worked at Enron. Metoyer, who worked at Enron, sent an email at 12:45 PM on March 28, 2001. to Enron. Enron",,0,0,0
1753,FYI Jeff Donohue is OK with the ABB exclusivity agreement I was serious about Parquet and Mcdonald Chris Calger 503-464-3735,,Jeff Donohue is OK with the ABB exclusivity agreement AND was serious about Parquet and Mcdonald Chris Calger,,1,1,0
1759,You are most welcome. Hope the food is as good as the OTHER get together. SS Suzanne Adams 06/26/2000 03:43 PM,,"hope the food is good, you are most welcome. Hope the food is good, you are most welcome. Hope the food is good. Hope the food is good. Hope the food is good. Hope the food is good.",,1,0,0
1765,"Per Rita, moved from Fri (3/23) to Mon (3/26)",,lasting from Thu (3/23) to Mon,,0,0,0
1771,I'm free after 11 am - Sara,,Sara is free after 11 am,,0,1,1
1777,"Meeting with Cindy Olson, et al to prepare for 1:30 all-HR meeting",,"with Cindy Olson, et al., prepare for 1:30 all-HR",,1,0,0
1783,fyi Kay,,,,0,0,0
1789,fyi,,,,0,0,0
1795,"Sounds good to me. We really need to get this amendment signed today. Please do what you can to expedite. Thanks, Kay",,signed today. We really need this amendment signed today so please speed it up.. We really need this amendment signed today so please speed it up. Thank you. signed today. signed today. today......,,1,0,0
